State,Utility,Sample ID,Analyte,Value (PPT)
Native American Reservations,Mashantucket Pequot Water System,810-104400-1,Total PFAS,48.6
Native American Reservations,Mashantucket Pequot Water System,810-104400-1,PFPeA,19.1
Native American Reservations,Mashantucket Pequot Water System,810-104400-1,PFHxA,9.7
Native American Reservations,Mashantucket Pequot Water System,810-104400-1,PFOA,6.6
Native American Reservations,Mashantucket Pequot Water System,810-104400-1,PFBA,6.5
Native American Reservations,Mashantucket Pequot Water System,810-104400-1,PFBS,3.4
Native American Reservations,Mashantucket Pequot Water System,810-104400-1,PFHpA,3.3
Native American Reservations,Mashantucket Pequot Water System,810-79458-1,Total PFAS,48.2
Native American Reservations,Mashantucket Pequot Water System,810-79458-1,PFPeA,18.2
Native American Reservations,Mashantucket Pequot Water System,810-79458-1,PFHxA,9.2
Native American Reservations,Mashantucket Pequot Water System,810-79458-1,PFOA,7.4
Native American Reservations,Mashantucket Pequot Water System,810-79458-1,PFBA,6.3
Native American Reservations,Mashantucket Pequot Water System,810-79458-1,PFBS,3.6
Native American Reservations,Mashantucket Pequot Water System,810-79458-1,PFHpA,3.5
Native American Reservations,Mashantucket Pequot Water System,810-81002-1,Total PFAS,3.6
Native American Reservations,Mashantucket Pequot Water System,810-81002-1,PFPeA,3.6
Native American Reservations,Mashantucket Pequot Water System,810-93091-1,Total PFAS,48.9
Native American Reservations,Mashantucket Pequot Water System,810-93091-1,PFPeA,18.5
Native American Reservations,Mashantucket Pequot Water System,810-93091-1,PFHxA,9.9
Native American Reservations,Mashantucket Pequot Water System,810-93091-1,PFOA,7.1
Native American Reservations,Mashantucket Pequot Water System,810-93091-1,PFBA,6.2
Native American Reservations,Mashantucket Pequot Water System,810-93091-1,PFBS,3.6
Native American Reservations,Mashantucket Pequot Water System,810-93091-1,PFHpA,3.6
Native American Reservations,POTTAWATOMIE CO. RWD #3 (DALE PLANT),107470P,Total PFAS,7.4
Native American Reservations,POTTAWATOMIE CO. RWD #3 (DALE PLANT),107470P,PFOS,4.1
Native American Reservations,POTTAWATOMIE CO. RWD #3 (DALE PLANT),107470P,PFHxS,3.3
Native American Reservations,FORT WASHAKIE,117255P,Total PFAS,9.3
Native American Reservations,FORT WASHAKIE,117255P,PFOA,9.3
Native American Reservations,TREATMENT PLANT (EP1,117255P,PFHxA,3.0
Native American Reservations,C4H0611-01,117255P,PFPeA,3.9
Native American Reservations,Chukchansi Gold Resort,109513R,Total PFAS,13.2
Native American Reservations,Chukchansi Gold Resort,109513R,PFBS,9.9
Native American Reservations,Chukchansi Gold Resort,109513R,PFPeA,3.3
Native American Reservations,Chukchansi Gold Resort,114990R,Total PFAS,25.2
Native American Reservations,Chukchansi Gold Resort,114990R,PFBS,11.9
Native American Reservations,Chukchansi Gold Resort,114990R,PFPeA,5.0
Native American Reservations,Chukchansi Gold Resort,114990R,PFOA,4.8
Native American Reservations,Chukchansi Gold Resort,114990R,PFHxA,3.5
Native American Reservations,C4B3716-01,114990R,PFBS,3.9
Native American Reservations,C4B3716-05,114990R,PFBS,6.0
Native American Reservations,C4B3716-05,114990R,PFPeA,4.9
Native American Reservations,C4B3716-07,114990R,PFPeA,21.0
Native American Reservations,C4B3716-07,114990R,PFBS,12.0
Native American Reservations,C4B3716-07,114990R,PFHxA,7.2
Native American Reservations,C4B3716-07,114990R,PFOA,6.1
Native American Reservations,C4H2549-05,114990R,PFBS,11.0
Native American Reservations,C4H2549-05,114990R,PFPeA,8.9
Native American Reservations,C4H2549-05,114990R,PFHxA,3.0
Native American Reservations,C4H2549-07,114990R,PFPeA,23.0
Native American Reservations,C4H2549-07,114990R,PFBS,11.0
Native American Reservations,C4H2549-07,114990R,PFHxA,6.9
Native American Reservations,C4H2549-07,114990R,PFOA,5.2
Native American Reservations,C3H3400-05,114990R,PFPeA,6.4
Native American Reservations,C3H3400-05,114990R,PFHxA,4.2
Native American Reservations,C3H3400-05,114990R,PFBS,3.0
Native American Reservations,C4C3289-05,114990R,PFPeA,8.9
Native American Reservations,C4C3289-05,114990R,PFHxA,6.2
Native American Reservations,C4C3289-05,114990R,PFBS,3.0
Native American Reservations,Rincon Northern,113792P,Total PFAS,28.8
Native American Reservations,Rincon Northern,113792P,PFOS,8.9
Native American Reservations,Rincon Northern,113792P,PFHxA,5.9
Native American Reservations,Rincon Northern,113792P,PFOA,5.6
Native American Reservations,Rincon Northern,113792P,PFPeA,5.0
Native American Reservations,Rincon Northern,113792P,PFBS,3.4
Native American Reservations,Viejas Community System,113793P,Total PFAS,24.3
Native American Reservations,Viejas Community System,113793P,PFBS,24.3
AK,"BARROW UTILITIES & ELEC. COOP., INC. (BU",113819P,Total PFAS,83.3
AK,"BARROW UTILITIES & ELEC. COOP., INC. (BU",113819P,PFOS,40.7
AK,"BARROW UTILITIES & ELEC. COOP., INC. (BU",113819P,PFHxS,16.1
AK,"BARROW UTILITIES & ELEC. COOP., INC. (BU",113819P,PFBA,11.0
AK,"BARROW UTILITIES & ELEC. COOP., INC. (BU",113819P,PFHxA,7.3
AK,"BARROW UTILITIES & ELEC. COOP., INC. (BU",113819P,PFPeA,4.9
AK,"BARROW UTILITIES & ELEC. COOP., INC. (BU",113819P,PFHpA,3.3
AK,COLLEGE UTILITIES CORPORATION,810-111656-1,Total PFAS,25.1
AK,COLLEGE UTILITIES CORPORATION,810-111656-1,PFHxS,10.5
AK,COLLEGE UTILITIES CORPORATION,810-111656-1,PFOA,6.4
AK,COLLEGE UTILITIES CORPORATION,810-111656-1,PFHxA,4.3
AK,COLLEGE UTILITIES CORPORATION,810-111656-1,PFPeA,3.9
AK,EIELSON - AIR FORCE BASE,105438R,Total PFAS,3.0
AK,EIELSON - AIR FORCE BASE,105438R,PFPeA,3.0
AK,FT WAINWRIGHT - MAIN POST,810-125638-2,Total PFAS,3.0
AK,FT WAINWRIGHT - MAIN POST,810-125638-2,PFHxS,3.0
AK,FT WAINWRIGHT - MAIN POST,810-125638-3,Total PFAS,4.3
AK,FT WAINWRIGHT - MAIN POST,810-125638-3,PFHxS,4.3
AK,GOLDEN HEART UTILITIES,810-110185-1,Total PFAS,21.2
AK,GOLDEN HEART UTILITIES,810-110185-1,PFHxS,8.8
AK,GOLDEN HEART UTILITIES,810-110185-1,PFOA,5.4
AK,GOLDEN HEART UTILITIES,810-110185-1,PFHxA,3.7
AK,GOLDEN HEART UTILITIES,810-110185-1,PFPeA,3.3
AK,MOA MUNICIPALITY OF ANCHORAGE,32302589001,Total PFAS,4.6
AK,MOA MUNICIPALITY OF ANCHORAGE,32302589001,PFHxS,4.6
AK,MOA MUNICIPALITY OF ANCHORAGE,32303204003,Total PFAS,3.5
